icd_code,description
A09,This code represents an unspecified bacterial or viral infection of the stomach and intestines causing inflammation.
E11.9,This diagnosis indicates a patient has type 2 diabetes but is not currently experiencing any related systemic complications.
F32.9,This classifies a patient who is experiencing their first known episode of major depression without further specification of severity.
H10.9,This code is used for inflammation of the conjunctiva of the eye commonly known as pink eye without a specified cause.
I10,This indicates a diagnosis of high blood pressure that does not have a known secondary medical cause.
J01.90,This represents an acute inflammation of the sinus cavities where the specific sinus affected is not documented.
K21.9,This code describes chronic acid reflux occurring without visible damage or inflammation to the lining of the esophagus.
L70.0,This is the standard medical classification for common acne characterized by pimples and cysts.
M54.5,This code is assigned when a patient complains of pain in the lumbar region of the spine.
N39.0,This indicates a bacterial infection somewhere in the urinary system though the exact location isn't specified.
R05,This code is used to document a patient presenting with a cough as a primary symptom.
R51,This is the general code used when a patient seeks medical attention for a headache.
T07,This classification is used when a patient has sustained multiple physical injuries whose specific details are unspecified.
Z00.00,This code records a routine preventative health check-up for an adult where the physician found no abnormal health issues.
Z71.3,This indicates that a patient received professional advice and monitoring regarding their diet and nutritional intake.
Z79.82,This code documents that a patient takes aspirin on a regular ongoing basis for cardiovascular health.
B35.3,This is the medical code for a fungal infection of the feet commonly known as athlete's foot.
C34.90,This indicates a cancerous tumor located somewhere in the lungs or bronchi without specifying the exact lung or lobe.
E03.9,This code represents an underactive thyroid gland that is not producing enough hormones with an unspecified cause.
F41.1,This diagnosis is for a mental health condition characterized by excessive uncontrollable and often irrational worry about everyday things.
G47.33,This describes a sleep disorder where a person's breathing repeatedly stops and starts during sleep due to throat muscle relaxation.
H65.90,This code indicates a middle ear infection without pus though the specific ear affected is not documented.
I25.10,This signifies a buildup of plaque in the heart's major blood vessels but the patient is not currently experiencing angina.
J20.9,This refers to a sudden inflammation of the bronchial tubes usually caused by a viral infection without specifying the exact pathogen.
K29.70,This code is used for inflammation of the stomach lining that is not currently causing any internal bleeding.
L03.90,This represents a potentially serious bacterial skin infection causing redness and swelling without specifying the body part.
M15.0,This diagnosis indicates the patient has osteoarthritis affecting multiple joints throughout their body simultaneously.
N18.9,This code describes long-term progressive loss of kidney function where the specific stage of the disease is not detailed.
O20.0,This indicates vaginal bleeding during the first 20 weeks of pregnancy suggesting a possible risk of miscarriage.
P07.39,This code is assigned to a newborn baby delivered prematurely specifically between 28 and 36 completed weeks of gestation.
Q21.0,This represents a congenital heart defect characterized by a hole in the wall separating the two lower chambers of the heart.
R07.9,This is a symptom code used when a patient experiences chest pain but the underlying medical cause has not yet been determined.
U07.1,This is the specific code used to confirm a positive diagnosis of the COVID-19 respiratory illness.
B01.9,This indicates an active infection of the chickenpox virus that has not resulted in any secondary complications.
G30.9,This code is used for a diagnosis of Alzheimer's disease where the specific onset type is not specified.
J18.9,This represents an infection that inflames the air sacs in one or both lungs where the causative organism is unknown.
K35.80,This diagnosis refers to a sudden and severe inflammation of the appendix requiring medical attention.
M32.9,This indicates a systemic autoimmune disease that occurs when the body's immune system attacks its own tissues and organs.
